CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
Metropolitan Statistical Area
29620,"Lansing-East Lansing, MI (Metropolitan Statistical Area)",21747193
29700,"Laredo, TX (Metropolitan Statistical Area)",7927563
29740,"Las Cruces, NM (Metropolitan Statistical Area)",7047717
29820,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",89956581
29940,"Lawrence, KS (Metropolitan Statistical Area)",3937978
30020,"Lawton, OK (Metropolitan Statistical Area)",5037561
30140,"Lebanon, PA (Metropolitan Statistical Area)",4949988
30300,"Lewiston, ID-WA (Metropolitan Statistical Area)",2340630
30340,"Lewiston-Auburn, ME (Metropolitan Statistical Area)",3946847
30460,"Lexington-Fayette, KY (Metropolitan Statistical Area)",22342798
30620,"Lima, OH (Metropolitan Statistical Area)",7821572
30700,"Lincoln, NE (Metropolitan Statistical Area)",14866705
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",31689423
30860,"Logan, UT-ID (Metropolitan Statistical Area)",4256918
30980,"Longview, TX (Metropolitan Statistical Area)",17225783
31020,"Longview, WA (Metropolitan Statistical Area)",4031578
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",750123901
31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",56593077
31180,"Lubbock, TX (Metropolitan Statistical Area)",11242493
31340,"Lynchburg, VA (Metropolitan Statistical Area) *",9692740
31420,"Macon-Bibb County, GA (Metropolitan Statistical Area)",9476557
31460,"Madera, CA (Metropolitan Statistical Area)",4883226
31540,"Madison, WI (Metropolitan Statistical Area)",36051673
31700,"Manchester-Nashua, NH (Metropolitan Statistical Area)",21369036
31740,"Manhattan, KS (Metropolitan Statistical Area)",6824479
31860,"Mankato, MN (Metropolitan Statistical Area)",4623888
31900,"Mansfield, OH (Metropolitan Statistical Area)",4085917
32580,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",17181174
32780,"Medford, OR (Metropolitan Statistical Area)",6985848
